0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-28.0,-57.0,-49.0,-51.0,-59.0,-66.0,-60.0,-58.0,-64.0,-54.0,-50.0,-54.0,-56.0,-62.0,-69.0,-71.0,-80.0
-31.0,-57.0,-58.0,-43.0,-54.0,-66.0,-50.0,-54.0,-64.0,-56.0,-57.0,-56.0,-56.0,-62.0,-69.0,-66.0,-72.0
-28.0,-57.0,-58.0,-53.0,-53.0,-67.0,-58.0,-53.0,-64.0,-55.0,-53.0,-54.0,-56.0,-64.0,-69.0,-72.0,-76.0
-28.0,-57.0,-48.0,-43.0,-53.0,-56.0,-57.0,-53.0,-65.0,-56.0,-50.0,-54.0,-56.0,-62.0,-69.0,-73.0,-72.0
-28.0,-42.0,-61.0,-43.0,-53.0,-66.0,-57.0,-54.0,-64.0,-55.0,-57.0,-56.0,-55.0,-65.0,-64.0,-67.0,-79.0
-31.0,-58.0,-49.0,-51.0,-59.0,-56.0,-50.0,-52.0,-59.0,-56.0,-50.0,-54.0,-52.0,-64.0,-68.0,-65.0,-79.0
-28.0,-58.0,-59.0,-43.0,-53.0,-56.0,-60.0,-54.0,-52.0,-54.0,-50.0,-54.0,-51.0,-69.0,-64.0,-67.0,-74.0
-28.0,-58.0,-50.0,-43.0,-53.0,-52.0,-49.0,-58.0,-59.0,-55.0,-53.0,-54.0,-52.0,-68.0,-68.0,-69.0,-78.0
-28.0,-57.0,-49.0,-51.0,-53.0,-56.0,-49.0,-52.0,-64.0,-56.0,-53.0,-54.0,-56.0,-68.0,-71.0,-65.0,-76.0
-28.0,-42.0,-55.0,-51.0,-53.0,-52.0,-49.0,-57.0,-52.0,-55.0,-53.0,-54.0,-56.0,-67.0,-70.0,-79.0,-76.0
-28.0,-57.0,-57.0,-42.0,-53.0,-69.0,-50.0,-53.0,-59.0,-56.0,-50.0,-54.0,-56.0,-61.0,-67.0,-63.0,-70.0
-30.0,-57.0,-55.0,-47.0,-53.0,-56.0,-60.0,-54.0,-52.0,-54.0,-33.0,-54.0,-56.0,-66.0,-72.0,-79.0,-71.0
-28.0,-58.0,-56.0,-47.0,-53.0,-56.0,-50.0,-54.0,-52.0,-56.0,-53.0,-54.0,-56.0,-59.0,-67.0,-74.0,-81.0
-28.0,-58.0,-53.0,-43.0,-53.0,-52.0,-57.0,-54.0,-64.0,-56.0,-53.0,-54.0,-56.0,-61.0,-63.0,-63.0,-76.0
-27.0,-42.0,-49.0,-47.0,-52.0,-52.0,-57.0,-57.0,-64.0,-55.0,-53.0,-54.0,-56.0,-65.0,-70.0,-68.0,-69.0
-31.0,-57.0,-49.0,-51.0,-71.0,-52.0,-49.0,-55.0,-64.0,-55.0,-53.0,-54.0,-56.0,-67.0,-63.0,-65.0,-73.0
-28.0,-42.0,-65.0,-43.0,-52.0,-67.0,-50.0,-51.0,-64.0,-59.0,-53.0,-54.0,-56.0,-68.0,-84.0,-74.0,-78.0
-31.0,-57.0,-53.0,-51.0,-51.0,-52.0,-61.0,-52.0,-64.0,-53.0,-57.0,-56.0,-52.0,-74.0,-72.0,-86.0,-76.0
-28.0,-57.0,-53.0,-50.0,-50.0,-70.0,-57.0,-52.0,-64.0,-55.0,-53.0,-54.0,-56.0,-66.0,-69.0,-64.0,-77.0
-28.0,-57.0,-49.0,-50.0,-50.0,-67.0,-50.0,-55.0,-64.0,-56.0,-53.0,-54.0,-56.0,-62.0,,-82.0,-75.0
-31.0,-57.0,-49.0,-50.0,-53.0,-57.0,-57.0,-58.0,-59.0,-54.0,-57.0,-54.0,-52.0,-66.0,,-67.0,-77.0
-31.0,-42.0,-61.0,-43.0,-54.0,-57.0,-49.0,-55.0,-59.0,-58.0,-53.0,-54.0,-52.0,-66.0,,-67.0,-82.0
-28.0,-58.0,-53.0,-49.0,-53.0,-56.0,-50.0,-52.0,-52.0,-56.0,-53.0,-54.0,-56.0,,,-66.0,-82.0
-28.0,-57.0,-49.0,-47.0,-55.0,-51.0,-60.0,-58.0,-59.0,-58.0,-57.0,-56.0,-52.0,,,-63.0,-74.0
-27.0,-42.0,-49.0,-47.0,-54.0,-51.0,-60.0,-55.0,-59.0,-59.0,-50.0,-56.0,-56.0,,,-66.0,-71.0
-28.0,-57.0,-49.0,-50.0,-50.0,-57.0,-57.0,-55.0,-52.0,-55.0,-57.0,-54.0,-56.0,,,-69.0,
-28.0,-42.0,-60.0,-49.0,-50.0,-57.0,-49.0,-57.0,-52.0,-57.0,-50.0,-54.0,-52.0,,,-71.0,
-27.0,-58.0,-54.0,-48.0,-50.0,-56.0,-49.0,-55.0,-59.0,-57.0,-57.0,-56.0,-56.0,,,-67.0,
-28.0,-58.0,-49.0,-51.0,-51.0,-55.0,-57.0,-51.0,-59.0,-55.0,-53.0,-56.0,-56.0,,,-69.0,
-31.0,-58.0,-53.0,-43.0,-51.0,-62.0,-49.0,-54.0,-59.0,-61.0,-50.0,-56.0,-55.0,,,-65.0,
-30.0,-42.0,-60.0,-51.0,-55.0,-49.0,-49.0,-50.0,-64.0,-60.0,-57.0,-54.0,-52.0,,,-72.0,
-27.0,-42.0,-49.0,-43.0,-56.0,-56.0,-57.0,-58.0,-59.0,-58.0,-57.0,-54.0,-52.0,,,-72.0,
-28.0,-58.0,-60.0,-48.0,-50.0,-49.0,-49.0,-50.0,-59.0,-57.0,-57.0,-54.0,-56.0,,,-66.0,
-27.0,-42.0,-61.0,-51.0,-50.0,-49.0,-50.0,-54.0,-60.0,-57.0,-53.0,-54.0,-52.0,,,,
-28.0,-42.0,-49.0,-43.0,-56.0,-58.0,-50.0,-54.0,-52.0,-59.0,-50.0,-56.0,-56.0,,,,
-28.0,-58.0,-53.0,-50.0,-50.0,-48.0,-57.0,-51.0,-59.0,-55.0,-57.0,-56.0,-56.0,,,,
-28.0,-58.0,-53.0,-50.0,-54.0,-55.0,-60.0,-51.0,-64.0,-58.0,-50.0,-56.0,-56.0,,,,
-27.0,-58.0,-49.0,-50.0,-49.0,-54.0,-60.0,-59.0,-65.0,-59.0,-57.0,-54.0,-56.0,,,,
-28.0,-58.0,-59.0,-43.0,-49.0,-53.0,-57.0,-54.0,-64.0,-59.0,-50.0,-54.0,-52.0,,,,
-31.0,-58.0,-60.0,-50.0,-53.0,-56.0,-60.0,-58.0,-52.0,-59.0,-53.0,-54.0,-52.0,,,,
-31.0,-58.0,-60.0,-52.0,-49.0,-54.0,-60.0,-59.0,-59.0,-55.0,-53.0,-54.0,-52.0,,,,
-31.0,-42.0,-56.0,-49.0,-49.0,-50.0,-60.0,-51.0,-59.0,-59.0,-50.0,-54.0,-51.0,,,,
-27.0,-58.0,-59.0,-43.0,-49.0,-61.0,-60.0,-51.0,-64.0,-59.0,-57.0,-54.0,-56.0,,,,
-31.0,-42.0,-49.0,-43.0,-55.0,-55.0,-49.0,-54.0,-59.0,-55.0,-53.0,-54.0,-52.0,,,,
-28.0,-58.0,-48.0,-52.0,-50.0,-55.0,-57.0,-59.0,-52.0,-59.0,-57.0,-56.0,-52.0,,,,
-30.0,-42.0,-54.0,-49.0,-49.0,-62.0,-60.0,-54.0,-52.0,-59.0,-53.0,-54.0,-56.0,,,,
-28.0,-42.0,-59.0,-51.0,-55.0,-65.0,-50.0,-51.0,-53.0,-60.0,-50.0,-54.0,-56.0,,,,
-27.0,-59.0,-48.0,-49.0,-56.0,-62.0,-50.0,-59.0,-59.0,-60.0,-57.0,-56.0,-52.0,,,,
-28.0,-58.0,-48.0,-49.0,-49.0,-63.0,-49.0,-59.0,-59.0,-55.0,-57.0,-54.0,-56.0,,,,
-31.0,-57.0,-54.0,-49.0,-49.0,-55.0,-49.0,-50.0,-59.0,-58.0,-50.0,-54.0,-56.0,,,,
-31.0,-58.0,-49.0,-44.0,-48.0,-62.0,-60.0,-59.0,-64.0,-55.0,-53.0,-56.0,-55.0,,,,
-28.0,-42.0,-48.0,-44.0,-49.0,-62.0,-57.0,-50.0,-59.0,-59.0,-50.0,-56.0,-52.0,,,,
-28.0,-58.0,-65.0,-44.0,-55.0,-64.0,-57.0,-59.0,-52.0,-55.0,-53.0,-56.0,-55.0,,,,
-28.0,-38.0,-49.0,-49.0,-49.0,-64.0,-50.0,-54.0,-59.0,-58.0,-53.0,-56.0,-52.0,,,,
-27.0,-42.0,-53.0,-51.0,-48.0,-55.0,-50.0,-59.0,-59.0,-58.0,-53.0,-56.0,-56.0,,,,
-30.0,-42.0,-49.0,-51.0,-48.0,-57.0,-49.0,-54.0,-64.0,-59.0,-53.0,-55.0,-56.0,,,,
-27.0,-59.0,-51.0,-43.0,-50.0,-49.0,-57.0,-51.0,-59.0,-58.0,-50.0,-54.0,-56.0,,,,
-30.0,-57.0,-52.0,-44.0,-49.0,-57.0,-50.0,-58.0,-59.0,-59.0,-51.0,-55.0,-56.0,,,,
-30.0,-42.0,-57.0,-52.0,-49.0,-61.0,-60.0,-51.0,-52.0,-55.0,-51.0,-54.0,-56.0,,,,
-31.0,-59.0,-53.0,-53.0,-49.0,-57.0,-50.0,-59.0,-52.0,-59.0,-59.0,-54.0,-56.0,,,,
