0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-25.0,-56.0,-59.0,-59.0,-59.0,-55.0,-58.0,-63.0,-71.0,-69.0,-61.0,-62.0,-57.0,,,,
-27.0,-50.0,-58.0,-60.0,-60.0,-65.0,-58.0,-73.0,-69.0,-75.0,-59.0,-62.0,-60.0,,,,
-25.0,-54.0,-58.0,-62.0,-74.0,-55.0,-58.0,-63.0,-68.0,-75.0,-62.0,-76.0,-60.0,,,,
-27.0,-50.0,-58.0,-60.0,-63.0,-64.0,-58.0,-58.0,-69.0,-75.0,-62.0,-62.0,-60.0,,,,
-27.0,-51.0,-58.0,-58.0,-63.0,-75.0,-58.0,-58.0,-62.0,-72.0,-62.0,-76.0,-57.0,,,,
-27.0,-56.0,-58.0,-62.0,-63.0,-64.0,-58.0,-72.0,-69.0,-64.0,-59.0,-68.0,-70.0,,,,
-30.0,-51.0,-57.0,-61.0,-65.0,-75.0,-58.0,-75.0,-62.0,-65.0,-62.0,-62.0,-57.0,,,,
-30.0,-54.0,-58.0,-57.0,-77.0,-56.0,-55.0,-75.0,-62.0,-65.0,-59.0,-69.0,-70.0,,,,
-27.0,-56.0,-58.0,-62.0,-62.0,-74.0,-58.0,-62.0,-61.0,-69.0,-62.0,-62.0,-71.0,,,,
-27.0,-56.0,-59.0,-62.0,-63.0,-74.0,-58.0,-62.0,-71.0,-70.0,-62.0,-62.0,-60.0,,,,
-30.0,-56.0,-59.0,-61.0,-60.0,-56.0,-58.0,-62.0,-72.0,-64.0,-62.0,-62.0,-60.0,,,,
-27.0,-50.0,-60.0,-62.0,-63.0,-64.0,-58.0,-75.0,-71.0,-68.0,-59.0,-78.0,-70.0,,,,
-25.0,-53.0,-59.0,-57.0,-63.0,-72.0,-58.0,-76.0,-62.0,-68.0,-62.0,-68.0,-60.0,,,,
-25.0,-51.0,-62.0,-60.0,-60.0,-55.0,-55.0,-62.0,-71.0,-75.0,-59.0,-62.0,-60.0,,,,
-25.0,-57.0,-60.0,-61.0,-60.0,-64.0,-58.0,-63.0,-62.0,-66.0,-64.0,-76.0,-60.0,,,,
-25.0,-54.0,-59.0,-61.0,-63.0,-71.0,-58.0,-58.0,-62.0,-66.0,-63.0,-62.0,-71.0,,,,
-25.0,-51.0,-61.0,-57.0,-64.0,-69.0,-55.0,-73.0,-68.0,-67.0,-60.0,-70.0,-60.0,,,,
-30.0,-54.0,-58.0,-58.0,-73.0,-64.0,-58.0,-63.0,-62.0,-66.0,-61.0,-62.0,-57.0,,,,
-25.0,-57.0,-62.0,-63.0,-59.0,-65.0,-55.0,-58.0,-61.0,-58.0,-61.0,-62.0,-70.0,,,,
